Student_ID,Subject_Knowledge,Concept_Clarity,Presentation_Usage,Assignment_Difficulty,Doubt_Solving,Course_Structure,Student_Support,Recommendation,Event_Name,Event_Type,Department,Avg_Score,Comments,Sentiment_Score,Sentiment_Label
340,5,2,7,6,9,2,1,8,Cultural Fest,Seminar,CSE,5.0,The session was amazing and very informative.,0.5859,Positive
253,6,5,8,6,2,1,2,9,Webinar on Careers,Seminar,CSE,4.875,The presentation was poor and hard to follow.,-0.5423,Negative
680,7,7,6,5,4,2,3,1,Webinar on Careers,Seminar,EEE,4.375,I loved how doubts were cleared instantly.,0.4767,Positive
806,9,6,7,1,5,9,4,6,Tech Talk,Seminar,CIVIL,5.875,Assignments were too difficult for our level.,-0.3612,Negative
632,8,10,8,4,6,6,9,9,AI Workshop,Workshop,EEE,7.5,Excellent structure and support by the instructor.,0.7506,Positive
832,7,2,7,8,3,5,1,4,Python Bootcamp,Cultural,ECE,4.625,The session was amazing and very informative.,0.5859,Positive
772,9,3,5,2,10,3,8,1,Cultural Fest,Cultural,MECH,5.125,The presentation was poor and hard to follow.,-0.5423,Negative
961,9,8,7,4,4,3,3,10,AI Workshop,Seminar,MECH,6.0,I loved how doubts were cleared instantly.,0.4767,Positive
814,6,5,8,6,4,4,7,9,Tech Talk,Workshop,MECH,6.125,Assignments were too difficult for our level.,-0.3612,Negative
863,5,9,4,7,9,4,4,5,Cultural Fest,Seminar,MECH,5.875,Excellent structure and support by the instructor.,0.7506,Positive
576,10,3,8,6,6,3,6,9,Webinar on Careers,Seminar,MECH,6.375,The session was amazing and very informative.,0.5859,Positive
702,8,4,7,1,2,1,8,8,Python Bootcamp,Workshop,CIVIL,4.875,The presentation was poor and hard to follow.,-0.5423,Negative
541,5,4,4,2,2,7,8,1,Tech Talk,Workshop,MECH,4.125,I loved how doubts were cleared instantly.,0.4767,Positive
552,5,6,7,2,7,4,4,2,AI Workshop,Workshop,EEE,4.625,Assignments were too difficult for our level.,-0.3612,Negative
510,6,7,8,3,4,7,7,6,Tech Talk,Seminar,CSE,6.0,Excellent structure and support by the instructor.,0.7506,Positive
159,7,7,6,6,3,9,3,1,Tech Talk,Seminar,ECE,5.25,The session was amazing and very informative.,0.5859,Positive
223,9,10,4,5,7,10,10,6,Tech Talk,Cultural,MECH,7.625,The presentation was poor and hard to follow.,-0.5423,Negative
807,8,3,4,2,2,4,6,1,Cultural Fest,Cultural,CIVIL,3.75,I loved how doubts were cleared instantly.,0.4767,Positive
525,9,9,4,3,5,5,9,2,AI Workshop,Workshop,ECE,5.75,Assignments were too difficult for our level.,-0.3612,Negative
799,5,6,5,4,2,1,1,7,Webinar on Careers,Seminar,CSE,3.875,Excellent structure and support by the instructor.,0.7506,Positive
24,9,10,6,10,2,10,1,9,AI Workshop,Workshop,CIVIL,7.125,The session was amazing and very informative.,0.5859,Positive
509,8,2,7,5,2,3,4,4,Tech Talk,Seminar,MECH,4.375,The presentation was poor and hard to follow.,-0.5423,Negative
797,9,10,4,10,9,2,10,7,Webinar on Careers,Cultural,CSE,7.625,I loved how doubts were cleared instantly.,0.4767,Positive
418,8,8,6,7,9,5,2,8,Python Bootcamp,Cultural,MECH,6.625,Assignments were too difficult for our level.,-0.3612,Negative
48,5,5,4,2,1,10,10,9,Tech Talk,Cultural,CIVIL,5.75,Excellent structure and support by the instructor.,0.7506,Positive
657,9,5,7,3,2,8,10,6,AI Workshop,Cultural,CSE,6.25,The session was amazing and very informative.,0.5859,Positive
864,9,8,5,2,3,9,2,8,Python Bootcamp,Cultural,EEE,5.75,The presentation was poor and hard to follow.,-0.5423,Negative
